cpu_num,width,height,time
4,15000,10000,0.187786
4,15000,10000,0.189656
4,20000,10000,0.243861
4,20000,10000,0.248661
4,20000,10000,0.254762
4,20000,10000,0.264910
4,20000,10000,0.241114
4,20000,10000,0.241657
4,20000,10000,0.258452
4,20000,10000,0.248657
4,20000,10000,0.242126
4,20000,10000,0.256141
4,25000,10000,0.291469
4,25000,10000,0.301754
4,25000,10000,0.300885
4,25000,10000,0.308153
4,25000,10000,0.325996
4,25000,10000,0.283745
4,25000,10000,0.305597
4,25000,10000,0.297995
4,25000,10000,0.288765
4,25000,10000,0.303874
4,30000,10000,0.382634
4,30000,10000,0.337361
4,30000,10000,0.402660
4,30000,10000,0.347276
4,30000,10000,0.364011
4,30000,10000,0.387900
